date,firm,publisher,Likud,Yesh_Atid,Rel_Zionism,Otzma_Yehudit,National_Unity,Shas,UTJ,Yisrael_Beiteinu,Raam,Hadash_Taal,Labor,Meretz,Balad,lead,gov_total,source_url,date_parsed,dems,New_Hope,Bennett_2026,Blue_White,Reservists,Yashar,Joint_List,Joint_List_1,Joint_List_2
1 Nov 2022,2022 legislative election[125],2022 legislative election[125],32.0,24.0,14.0,14.0,12.0,11.0,7.0,6.0,5.0,5.0,4.0,-3.16,-2.91,8,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2022-11-01,,,,,,,,,
23 Dec 2022,Panels Politics,Maariv[124],35.0,26.0,12.0,12.0,10.0,9.0,8.0,4.0,4.0,,4.0,4.0,4.0,9,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2022-12-23,,,,,,,,,
1 Jan 2023,Camil Fuchs,Channel 13[122],31.0,26.0,12.0,12.0,12.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,,5,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-01-01,,,,,,,,,
26 Jan 2023,Panels Politics,Maariv[121],31.0,27.0,5.0,8.0,15.0,9.0,7.0,5.0,-2.0,4.0,4.0,5.0,-2.4,4,60.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-01-26,,,,,,,,,
2 Feb 2023,Direct Polls,Channel 14[120],30.0,24.0,6.0,8.0,12.0,12.0,8.0,6.0,5.0,5.0,4.0,,,6,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-02,,,,,,,,,
3 Feb 2023,Midgam,HaHadashot 12[118][119],30.0,24.0,14.0,14.0,14.0,11.0,7.0,6.0,5.0,5.0,-2.4,4.0,-1.8,6,62.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-03,,,,,,,,,
20 Feb 2023,Camil Fuchs,Channel 13[117],27.0,26.0,12.0,12.0,14.0,10.0,7.0,5.0,6.0,5.0,4.0,,4.0,1,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-20,,,,,,,,,
22 Feb 2023,Direct Polls,Channel 14[115][116],31.0,23.0,7.0,7.0,13.0,11.0,8.0,6.0,5.0,5.0,4.0,-3.2,,8,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-22,,,,,,,,,
24 Feb 2023,Panels Politics,Maariv[114],26.0,27.0,5.0,7.0,19.0,10.0,7.0,5.0,-2.6,5.0,5.0,4.0,-2.1,1,55.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-24,,,,,,,,,
27 Feb 2023,Kantar,Kan 11[113],29.0,26.0,13.0,13.0,15.0,10.0,7.0,5.0,6.0,5.0,-3.1,4.0,-3.0,3,59.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-27,,,,,,,,,
28 Feb 2023,Midgam,HaHadashot 12[112],29.0,26.0,12.0,12.0,14.0,11.0,7.0,6.0,6.0,5.0,-2.8,4.0,-2.0,3,59.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-28,,,,,,,,,
5 Mar 2023,Camil Fuchs,Channel 13[111],28.0,27.0,12.0,12.0,14.0,9.0,7.0,6.0,6.0,5.0,6.0,,,1,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-05,,,,,,,,,
5 Mar 2023,Direct Polls,Channel 14[110],32.0,22.0,6.0,6.0,15.0,11.0,7.0,7.0,5.0,5.0,-2.9,4.0,-2.9,10,62.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-05,,,,,,,,,
9 Mar 2023,Panels Politics,Maariv[109],27.0,25.0,5.0,7.0,16.0,10.0,7.0,6.0,4.0,5.0,4.0,4.0,,2,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-09,,,,,,,,,
16 Mar 2023,Camil Fuchs,Channel 13[103],28.0,27.0,13.0,13.0,13.0,10.0,7.0,6.0,6.0,5.0,5.0,,,1,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-16,,,,,,,,,
16 Mar 2023,Direct Polls,Channel 14[105],32.0,23.0,6.0,6.0,15.0,11.0,7.0,6.0,5.0,5.0,-2.8,4.0,-2.7,9,62.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-16,,,,,,,,,
16 Mar 2023,Kantar,Kan 11[106][107],28.0,24.0,12.0,12.0,17.0,11.0,7.0,6.0,6.0,5.0,-2.9,4.0,-2.6,4,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-16,,,,,,,,,
16 Mar 2023,Midgam,HaHadashot 12[104],29.0,23.0,12.0,12.0,17.0,10.0,7.0,6.0,6.0,5.0,-3.0,5.0,-1.0,6,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-16,,,,,,,,,
16 Mar 2023,Panels Politics,Maariv[108],29.0,24.0,6.0,5.0,16.0,9.0,8.0,6.0,4.0,4.0,4.0,5.0,,5,57.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-16,,,,,,,,,
23 Mar 2023,Panels Politics,Maariv[102],28.0,26.0,5.0,6.0,19.0,10.0,7.0,5.0,4.0,5.0,-2.6,5.0,,2,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-23,,,,,,,,,
26 Mar 2023,Camil Fuchs,Channel 13[101],28.0,24.0,11.0,11.0,18.0,9.0,7.0,5.0,5.0,5.0,4.0,,4.0,4,55.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-26,,,,,,,,,
27 Mar 2023,Midgam,HaHadashot 12[100],25.0,22.0,12.0,12.0,23.0,10.0,7.0,6.0,5.0,5.0,-3.1,5.0,-2.1,2,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-27,,,,,,,,,
27 Mar 2023,Kantar,Kan 11[99],25.0,22.0,11.0,11.0,21.0,10.0,7.0,5.0,6.0,5.0,4.0,4.0,-3.1,3,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-27,,,,,,,,,
28 Mar 2023,Direct Polls,Channel 14[98],30.0,19.0,6.0,5.0,23.0,10.0,7.0,6.0,5.0,5.0,-2.5,4.0,-1.9,7,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-03-28,,,,,,,,,
2 Apr 2023,Direct Polls,Channel 14[97],31.0,17.0,5.0,5.0,24.0,10.0,7.0,7.0,5.0,5.0,-2.5,4.0,-2.9,7,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-02,,,,,,,,,
5 Apr 2023,Panels Politics,Maariv[96],25.0,20.0,6.0,6.0,25.0,10.0,7.0,6.0,4.0,6.0,-2.6,5.0,-1.8,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-05,,,,,,,,,
9 Apr 2023,Camil Fuchs,Channel 13[95],20.0,21.0,11.0,11.0,29.0,9.0,6.0,5.0,5.0,6.0,4.0,,4.0,8,46.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-09,,,,,,,,,
13 Apr 2023,Panels Politics,Maariv[94],26.0,19.0,5.0,4.0,26.0,9.0,7.0,6.0,4.0,6.0,4.0,4.0,-2.3,Tie,51.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-13,,,,,,,,,
16 Apr 2023,Midgam,HaHadashot 12[93],24.0,20.0,11.0,11.0,28.0,10.0,7.0,5.0,5.0,5.0,-2.6,5.0,-2.8,4,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-16,,,,,,,,,
16 Apr 2023,Direct Polls,Channel 14[92],30.0,14.0,5.0,4.0,29.0,10.0,8.0,6.0,5.0,5.0,-1.7,4.0,-2.6,1,57.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-16,,,,,,,,,
16 Apr 2023,Midgam,HaHadashot 12[93],24.0,18.0,11.0,11.0,26.0,10.0,7.0,5.0,5.0,5.0,9.0,9.0,-2.8,2,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-16,,,,,,,,,
21 Apr 2023,Panels Politics,Maariv[91],26.0,19.0,5.0,5.0,27.0,9.0,7.0,6.0,4.0,6.0,-2.6,6.0,,1,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-21,,,,,,,,,
27 Apr 2023,Panels Politics,Maariv[90],23.0,17.0,6.0,4.0,28.0,10.0,7.0,6.0,5.0,6.0,4.0,4.0,-2.2,5,50.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-27,,,,,,,,,
30 Apr 2023,Kantar,Kan 11[89],25.0,18.0,9.0,9.0,30.0,10.0,7.0,6.0,5.0,6.0,-2.5,4.0,-2.6,5,51.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-30,,,,,,,,,
30 Apr 2023,Direct Polls,Channel 14[88],31.0,14.0,5.0,4.0,28.0,11.0,7.0,6.0,5.0,5.0,-1.9,4.0,-2.8,3,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-30,,,,,,,,,
30 Apr 2023,Camil Fuchs,Channel 13[87],22.0,18.0,6.0,5.0,28.0,9.0,7.0,6.0,5.0,5.0,,5.0,4.0,6,49.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-04-30,,,,,,,,,
5 May 2023,Panels Politics,Maariv[86],25.0,17.0,5.0,5.0,31.0,10.0,8.0,6.0,4.0,5.0,-2.9,4.0,-2.4,6,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-05,,,,,,,,,
7 May 2023,Camil Fuchs,Channel 13[84],24.0,19.0,7.0,4.0,29.0,10.0,7.0,6.0,5.0,5.0,,4.0,,5,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-07,,,,,,,,,
7 May 2023,Midgam,HaHadashot 12[85],24.0,18.0,11.0,11.0,29.0,10.0,7.0,6.0,5.0,5.0,-2.5,5.0,-2.1,5,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-07,,,,,,,,,
7 May 2023,Midgam,HaHadashot 12[85],23.0,18.0,5.0,7.0,29.0,10.0,7.0,6.0,5.0,5.0,-2.5,5.0,-2.1,6,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-07,,,,,,,,,
12 May 2023,Panels Politics,Maariv[83],27.0,17.0,5.0,4.0,27.0,10.0,8.0,6.0,4.0,6.0,-2.2,6.0,-1.9,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-12,,,,,,,,,
14 May 2023,Camil Fuchs,Channel 13[82],25.0,18.0,8.0,5.0,30.0,10.0,8.0,5.0,6.0,5.0,,,,3,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-14,,,,,,,,,
14 May 2023,Direct Polls,Channel 14[81],31.0,16.0,5.0,5.0,27.0,10.0,7.0,6.0,5.0,4.0,-2.2,4.0,-2.8,4,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-14,,,,,,,,,
14 May 2023,Kantar,Kan 11[80],28.0,18.0,10.0,10.0,26.0,10.0,7.0,6.0,5.0,5.0,-1.5,5.0,-2.2,2,55.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-14,,,,,,,,,
14 May 2023,Midgam,HaHadashot 12[79],27.0,18.0,10.0,10.0,27.0,10.0,7.0,6.0,5.0,5.0,-1.3,5.0,-1.7,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-14,,,,,,,,,
14 May 2023,Midgam,HaHadashot 12[79],27.0,18.0,4.0,6.0,27.0,10.0,7.0,6.0,5.0,5.0,-1.3,5.0,-1.7,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-14,,,,,,,,,
18 May 2023,Panels Politics,Maariv[78],25.0,16.0,7.0,5.0,28.0,9.0,8.0,6.0,5.0,6.0,-2.0,5.0,-1.8,3,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-18,,,,,,,,,
24 May 2023,Camil Fuchs,Channel 13[77],25.0,18.0,5.0,4.0,29.0,9.0,7.0,4.0,6.0,5.0,,4.0,4.0,4,50.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-24,,,,,,,,,
24 May 2023,Panels Politics,Maariv[76],27.0,18.0,6.0,5.0,27.0,9.0,7.0,6.0,4.0,6.0,-2.5,5.0,-1.8,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-24,,,,,,,,,
30 May 2023,Midgam,HaHadashot 12[75],26.0,18.0,4.0,6.0,28.0,10.0,7.0,6.0,6.0,4.0,-1.7,5.0,-2.1,2,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-30,,,,,,,,,
30 May 2023,Midgam,HaHadashot 12[75],26.0,18.0,10.0,10.0,28.0,10.0,7.0,6.0,6.0,4.0,-1.7,5.0,-2.1,2,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-05-30,,,,,,,,,
1 Jun 2023,Panels Politics,Maariv[74],26.0,15.0,6.0,5.0,28.0,9.0,7.0,6.0,5.0,5.0,8.0,8.0,-2.2,2,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-01,,,,,,,,,
1 Jun 2023,Panels Politics,Maariv[74],26.0,18.0,6.0,4.0,29.0,9.0,7.0,6.0,5.0,6.0,-2.6,4.0,-2.2,3,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-01,,,,,,,,,
1 Jun 2023,Midgam,Arutz Sheva[73],26.0,18.0,5.0,6.0,28.0,10.0,7.0,6.0,6.0,4.0,,4.0,,2,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-01,,,,,,,,,
8 Jun 2023,Panels Politics,Maariv[72],26.0,18.0,6.0,4.0,31.0,9.0,7.0,6.0,5.0,5.0,-2.0,4.0,-1.8,5,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-08,,,,,,,,,
8 Jun 2023,Direct Polls,Channel 14[71],31.0,15.0,5.0,5.0,26.0,10.0,7.0,7.0,5.0,5.0,-1.8,4.0,-2.6,5,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-08,,,,,,,,,
11 Jun 2023,Camil Fuchs,Channel 13[70],24.0,17.0,6.0,5.0,27.0,10.0,7.0,5.0,6.0,6.0,7.0,7.0,,3,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-11,,,,,,,,,
11 Jun 2023,Camil Fuchs,Channel 13[70],24.0,19.0,6.0,5.0,28.0,10.0,7.0,5.0,6.0,6.0,,4.0,,4,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-11,,,,,,,,,
12 Jun 2023,Smith Consulting,Amit Segal[69],26.0,18.0,6.0,5.0,28.0,10.0,7.0,5.0,6.0,5.0,,4.0,,2,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-12,,,,,,,,,
15 Jun 2023,Panels Politics,Maariv[65],24.0,17.0,5.0,5.0,32.0,9.0,7.0,5.0,5.0,6.0,-1.7,5.0,-1.5,8,50.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-15,,,,,,,,,
15 Jun 2023,Midgam,HaHadashot 12[68],27.0,18.0,10.0,10.0,27.0,10.0,7.0,6.0,5.0,5.0,-1.8,5.0,-2.7,Tie,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-15,,,,,,,,,
15 Jun 2023,Direct Polls,Channel 14[67],28.0,14.0,5.0,6.0,28.0,10.0,7.0,8.0,5.0,5.0,-2.5,4.0,-2.6,Tie,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-15,,,,,,,,,
15 Jun 2023,Camil Fuchs,Channel 13[66],24.0,17.0,5.0,5.0,28.0,9.0,7.0,6.0,6.0,5.0,,4.0,4.0,4,50.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-15,,,,,,,,,
22 Jun 2023,Panels Politics,Maariv[64],26.0,17.0,5.0,4.0,30.0,9.0,7.0,6.0,5.0,6.0,-2.2,5.0,-2.0,4,51.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-22,,,,,,,,,
25 Jun 2023,Midgam,HaHadashot 12[62],27.0,18.0,10.0,10.0,28.0,10.0,7.0,6.0,6.0,4.0,-1.6,4.0,-2.9,1,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-25,,,,,,,,,
25 Jun 2023,Camil Fuchs,Channel 13[63],24.0,20.0,6.0,5.0,28.0,10.0,7.0,6.0,6.0,4.0,,4.0,,4,52.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-25,,,,,,,,,
29 Jun 2023,Panels Politics,Maariv[61],27.0,19.0,5.0,5.0,28.0,9.0,7.0,5.0,5.0,6.0,-1.7,4.0,-1.95,1,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-29,,,,,,,,,
29 Jun 2023,Direct Polls,Channel 14[60],30.0,14.0,5.0,5.0,28.0,10.0,7.0,8.0,5.0,4.0,-2.5,4.0,-3.0,2,57.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-06-29,,,,,,,,,
5 Jul 2023,Camil Fuchs,Channel 13[59],26.0,18.0,7.0,6.0,26.0,10.0,7.0,6.0,6.0,4.0,,4.0,,Tie,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-05,,,,,,,,,
5 Jul 2023,Lazar,Maariv[58],29.0,20.0,5.0,5.0,26.0,9.0,7.0,5.0,5.0,5.0,-1.4,4.0,-2.1,3,55.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-05,,,,,,,,,
9 Jul 2023,Midgam,HaHadashot 12[57],28.0,20.0,9.0,9.0,26.0,10.0,7.0,6.0,5.0,5.0,-1.6,4.0,-2.8,2,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-09,,,,,,,,,
9 Jul 2023,Kantar,Kan 11[56],28.0,17.0,9.0,9.0,29.0,10.0,7.0,6.0,5.0,5.0,,4.0,,1,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-09,,,,,,,,,
13 Jul 2023,Camil Fuchs,Channel 13[55],25.0,21.0,5.0,5.0,27.0,9.0,7.0,6.0,7.0,4.0,,4.0,,2,51.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-13,,,,,,,,,
13 Jul 2023,Lazar,Maariv[54],28.0,18.0,5.0,5.0,26.0,9.0,7.0,6.0,5.0,6.0,-1.8,5.0,-1.9,2,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-13,,,,,,,,,
13 Jul 2023,Direct Polls,Channel 14[53],30.0,14.0,5.0,6.0,28.0,9.0,7.0,7.0,5.0,5.0,-2.5,4.0,-2.7,2,57.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-13,,,,,,,,,
20 Jul 2023,Lazar,Maariv[52],28.0,17.0,5.0,5.0,29.0,9.0,7.0,5.0,5.0,5.0,-2.5,5.0,-2.1,1,54.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-20,,,,,,,,,
20 Jul 2023,Camil Fuchs,Channel 13[51],26.0,21.0,6.0,5.0,29.0,9.0,7.0,6.0,6.0,5.0,,,,3,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-20,,,,,,,,,
23 Jul 2023,Kantar,Kan 11[50],27.0,17.0,10.0,10.0,30.0,9.0,7.0,5.0,5.0,5.0,-3.1,5.0,,3,53.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-23,,,,,,,,,
24 Jul 2023,Direct Polls,Channel 14[49],31.0,14.0,5.0,5.0,28.0,9.0,7.0,7.0,5.0,5.0,-2.5,4.0,-2.6,3,57.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-07-24,,,,,,,,,
